size,type,time,cpu,iterations
1536,2,1881265,1881125,1
1536,2,1609372,1609250,1
1536,2,1367180,1367145,1
1536,2,1483262,1483172,1
1536,2,1401149,1401028,1
1536,2,1635526,1635424,1
1536,2,1403264,1403228,1
1536,2,1475226,1475095,1
1536,2,1603896,1603856,1
1536,2,1660958,1660916,1
1536,2,1641255,1641113,1
1536,2,2321124,2320982,1
1536,2,1456422,1456280,1
1536,2,1621017,1620977,1
1536,2,3531977,3531713,1
1536,2,1436597,1436532,1
1536,2,1399274,1399150,1
1536,2,1506234,1506108,1
1536,2,1657151,1657101,1
2048,2,4704948,4704723,1
2048,2,4569297,4569077,1
2048,2,4394274,4393900,1
2048,2,5310639,5310304,1
2048,2,3838077,3837875,1
2048,2,3502023,3501748,1
2048,2,3240565,3240369,1
2048,2,2738050,2737814,1
2048,2,3039280,3039114,1
2048,2,2871421,2871248,1
2048,2,3001982,3001794,1
2048,2,2903652,2903458,1
2048,2,3006568,3006411,1
2048,2,2603844,2603634,1
2048,2,3175095,3174887,1
2048,2,3225407,3225225,1
2048,2,3562148,3561868,1
2048,2,3647557,3647380,1
2048,2,3469370,3469184,1
2048,2,3569931,3569682,1
